company_name,tic
NABORS INDUSTRIES LTD,NBR
APA CORP,APA
BARNWELL INDUSTRIES INC,BRN
VALARIS LTD,VAL
DAWSON GEOPHYSICAL CO,DWSN
EQT CORP,EQT
HALLIBURTON CO,HAL
HELMERICH & PAYNE,HP
HEMISPHERE ENERGY CORP,HMENF
PRIMEENERGY RESOURCES CORP,PNRG
MEXCO ENERGY CORP,MXC
GOODRICH PETROLEUM CORP,GDP
PDC ENERGY INC,PDCE
RPC INC,RES
SCHLUMBERGER LTD,SLB
HOUSTON AMERICAN ENERGY CORP,USEG
SUSGLOBAL ENERGY CORP,USEG
MCCHIP RESOURCES INC,MCCHF
NOBLE CORP PLC,NE
ALTEX INDUSTRIES INC,ALTX
CALFRAC WELL SERVICES LTD,CFWFF
KLX ENERGY SERVICES INC,CFWFF
KLX ENERGY SERVICES HOLDING,CFWFF
JURA ENERGY CORP,JECFF
PEDEVCO CORP,PED
SUMMIT MIDSTREAM CORP,SMC
VANTAGE DRILLING INTERNATION,VTDRF
CANADIAN NATURAL RESOURCES,CNQ
CALLON PETROLEUM CO,CPE
KELT EXPLORATION LTD,KELTF
FORZA PETROLEUM LTD,ORXPF
AERO ENERGY LTD,AR
ANTERO RESOURCES CORP,AR
GEAR ENERGY LTD,GENGF
ALVOPETRO ENERGY LTD,ALVOF
PHX MINERALS INC,PHX
FEC RESOURCES INC,FECOF
ENERPLUS CORP,ERF
POND TECHNOLOGIES HOLDINGS I,CETEF
ACT ENERGY TECHNOLOGIES LTD,CETEF
BONTERRA ENERGY CORP,BNEFF
METALORE RESOURCES LTD,MTLRF
PARAMOUNT RESOURCES LTD -A,PRMRF
PRECISION DRILLING CORP,PDS
JOURNEY ENERGY INC,JRNGF
INDEPENDENCE CONTRACT DRILLI,ICDIQ
TETRA TECHNOLOGIES INC,TTI
CALIFORNIA RESOURCES CORP,CRC
LEUCROTTA EXPLORATION INC,LCRTF
HESS MIDSTREAM LP - CLASS A,HESM
MAMMOTH ENERGY SERVICES INC,TUSK
KOIL ENERGY SOLUTIONS INC,KLNG
VINE ENERGY INC - CLASS A,VEI
RESERVE PETROLEUM COMPANY,RSRV
BLACK STONE MINERALS LP,BSM
AMERICAN NOBLE GAS INC,AMNI
JADESTONE ENERGY PLC,JADSF
ION GEOPHYSICAL CORP,IOGPQ
SPINDLETOP OIL & GAS CO,SPND
EMPIRE PETROLEUM CORP,EP
PERISSON PETROLEUM CORP,POG.H
AKITA DRILLING LTD-CL A,AKTAF
FORUM ENERGY METALS CORP,FDCFF
OLIVIER VENTURES INC,PPEVF
PERMIAN RESOURCES CORP,PR
RILEY EXPLORATION PERMIAN IN,PR
PETRUS RESOURCES LTD,PTRUF
ENSIGN ENERGY SERVICES INC,ESVIF
ADVANTAGE ENERGY LTD,AAVVF
TRULEUM INC,TRLM
EXTRACTION OIL & GAS INC,XOG
EXPAND ENERGY CORP,EXE
SHAMARAN PETROLEUM CORP,SHASF
PGS ASA,PGSVY
TRANSOCEAN LTD,RIG
SUBSEA 7 SA,SUBCY
ROYALE ENERGY INC,ROYL
PATTERSON-UTI ENERGY INC,PTEN
INPLAY OIL CORP,IPOOF
BAYTEX ENERGY CORP,BTE
CHENIERE ENERGY INC,LNG
NEXTIER OILFIELD SOLUTIONS I,NEX
SELECT WATER SOLUTIONS INC,WTTR
KIMBELL ROYALTY PARTNERS LP,KRP
TOUCHSTONE EXPLORATION INC,PBEGF
PROPETRO HOLDING CORP,PUMP
TECHNIPFMC PLC,FTI
INTERNATIONAL PETROLEUM CORP,IPCFF
STEP ENERGY SERVICES LTD,SNVVF
NATIONAL ENERGY SERVICES REU,NESR
NINE ENERGY SERVICE INC,NINE
RANGER ENERGY SERVICES-CL A,RNGR
ESREY RESOURCES LTD,LNGYF
FTS INTERNATIONAL INC-CL A,FTSI
USA COMPRESSION PARTNERS LP,USAC
COMSTOCK RESOURCES INC,CRK
SITIO ROYALTIES CORP-A,STR
US WELL SERVICES HOLDINGS LL,USWS
MONTAUK RENEWABLES INC,MNTK
GREENFIRE RESOURCES LTD,GFR
PROFRAC HOLDING CORP-CL B,ACDC
KIWETINOHK ENERGY CORP,KWTEF
TRIO PETROLEUM CORP,TPET
VITESSE ENERGY INC,VTS
ATLAS ENERGY SOLUTIONS INC,AESI
KODIAK GAS SERVICES INC,KGS
LOGAN ENERGY CORP CA,LOECF
MACH NATURAL RESOURCES LP,MNR
VENTURE GLOBAL INC-CL A,VG
INFINITY NATURAL RESOUR-CL A,INR
DIAMOND OFFSHORE DRILLING IN,DO
CORE LABORATORIES INC,CLB
ENGLOBAL CORP,ENGC
WOLF ENERGY SERVICES INC,WOEN
NXT ENERGY SOLUTIONS INC,NSFDF
EVOLUTION PETROLEUM CORP,EPM
SERICA ENERGY PLC,SQZZF
TRICAN WELL SERVICE LTD,TOLWF
HELIX ENERGY SOLUTIONS GROUP,HLX
BENGAL ENERGY LTD,BNGLF
AMEN PROPERTIES INC,AMEN
PASON SYSTEMS INC,PSYTF
FRONTERA ENERGY CORP,FECCF
CROWN POINT ENERGY INC,CWVLF
XXL ENERGY CORP,XLEFF
HEADWATER EXPLORATION INC,CDDRF
TAG OIL LTD,TAOIF
SERINUS ENERGY PLC,SNUYF
CANACOL ENERGY LTD,CNNEF
NIKO RESOURCES LTD,NKRSF
FALCON OIL & GAS LTD,FOLGF
PHX ENERGY SERVICES CORP,PHXHF
CANADIAN SPIRIT RESOURCES,CSPUF
CANASIA ENERGY CORP,CECAF
SURGE ENERGY INC,ZPTAF
INTL FRONTIER RES CORP,IFRTF
CGX ENERGY INC,CGXEF
CORDY OILFIELD SERVICES INC,CKKFF
ALTAGAS LTD,ATGFF
DAYBREAK OIL & GAS INC,DBRM
PULSE SEISMIC INC,PLSDF
STRATA POWER CORP,SPOWF
CWC ENERGY SERVICES CORP,CAWLF
BIRCHCLIFF ENERGY LTD,BIREF
VEREN INC,VRN
PERPETUAL ENERGY INC,PMGYF
NUVISTA ENERGY LTD,NUVSF
QUESTERRE ENERGY CORP - A,QTEYF
WHITING PETROLEUM CORP,WLL
CREW ENERGY INC,CWEGF
ALTIMA ENERGY INC,ARSLF
CANADIAN OVERSEAS PETROLEUM,VELXQ
MACRO ENTERPRISES INC,MCESF
CAMBER ENERGY INC,CEI.2
PROSPERA ENERGY INC,GXRFF
PINE CLIFF ENERGY LTD,PIFYF
ZION OIL & GAS INC,ZNOG
CAPITAN INVESTMENT LTD,SAHRF
CENTAURUS ENERGY INC,CTARF
DECKLAR RESOURCES INC,DKLRF
DCP MIDSTREAM LP,DCP
YANGARRA RESOURCES LTD,YGRAF
CES ENERGY SOLUTIONS CORP,CESDF
KINGSLAND ENERGY CORP,MLIXF
TENAZ ENERGY CORP,ATUUF
PRAIRIE PROVIDENT RES INC,PRPRF
DIAMONDBACK ENERGY INC,FANG
LUCERO ENERGY CORP,PSHIF
BATTALION OIL CORP,BATL
SPARTAN DELTA CORP,DALXF
PETROLYMPIC LTD,PCQRF
GULFSLOPE ENERGY INC,GSPE
BLACK DIAMOND GROUP LTD,BDIMF
CANADA ENERGY PARTNERS INC,CNDPF
TAAT GLOBAL ALTERNATIVES INC,TOBAF
SANDRIDGE ENERGY INC,SD
TERRACE ENERGY CORP,TCRRD
EPSILON ENERGY LTD,EPSN
NUVERRA ENVIRONMENTAL SOLUTI,NES
KOLIBRI GLOBAL ENERGY INC,KGEI
TAMARACK VALLEY ENERGY LTD,TNEYF
CSI COMPRESSCO LP,CCLP
SOUTHERN ENERGY CORP,SOUTF
WILTON RESOURCES INC,WLTNF
PAREX RESOURCES INC,PARXF
CHORD ENERGY CORP,CHRD
SECURE WASTE INFRASTRUCTURE,SECYF
ROK RESOURCES INC,ROKRF
VALEURA ENERGY INC,VLERF
WHITECAP RESOURCES INC,SPGYF
MEG ENERGY CORP,MEGEF
ENSERVCO CORP,ENSV
TOURMALINE OIL CORP,TRMLF
VOC ENERGY TRUST,VOC
CONDOR ENERGIES INC,CNPRF
SHOAL POINT ENERGY LTD,SHPNF
SINTANA ENERGY INC,SEUSF
NEW ZEALAND ENERGY CORP,NZERF
VITAL ENERGY INC,VTLE
STAMPEDE DRILLING INC,STPDF
AFRICA OIL CORP,HPMCF
ECO ATLANTIC OIL & GAS LTD,ECAOF
LONESTAR RESOURCES US INC,LONE
SEADRILL LIMITED,SDRL
GEOPARK LTD,GPRK
ORCA ENERGY GROUP INC,ORXGF
SUNSHINE OILSANDS LTD,SUNYF
BORR DRILLING LTD,BORR
