date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor
2024-07-25,thehindu,1,0,1,0,0,1
2024-07-24,yahoo,1,0,1,0,0,1
2024-07-24,yahoo_sg,1,0,1,0,0,1
2024-11-01,benzinga,3,0,7,1,2,4
2024-10-28,benzinga,0,0,0,0,0,1
2024-09-20,benzinga,0,0,0,0,0,1
2024-07-29,fool,0,1,1,0,1,1
2024-07-31,seekingalpha,0,0,3,0,0,1
2024-07-31,seekingalpha,4,0,5,0,0,2
2024-12-23,startribune,0,0,0,0,0,1
2024-10-28,benzinga,1,0,2,0,0,1
2024-10-30,seekingalpha,0,0,4,0,0,1
2024-08-21,seekingalpha,2,1,3,0,0,2
2024-08-20,seekingalpha,0,0,1,0,0,1
2024-10-28,benzinga,1,0,0,0,0,1
2024-10-30,globenewswire,1,0,4,0,0,1
2024-07-09,seekingalpha,2,0,4,0,0,1
2024-11-01,benzinga,0,0,5,0,0,1
2024-10-24,benzinga,2,0,4,1,0,1
2024-11-19,openpr,1,1,0,0,2,1
2024-06-29,seekingalpha,0,0,3,0,0,1
2024-07-30,fool,0,0,1,0,0,1
2024-08-18,investorplace,0,0,0,0,0,1
2024-12-29,oilprice,1,0,2,1,0,1
2024-07-20,seekingalpha,2,2,4,0,0,1
2024-07-22,seekingalpha,1,1,4,0,1,1
2024-11-11,benzinga,3,0,7,0,0,4
2024-10-29,benzinga,1,0,0,0,0,1
2024-11-10,investorplace,2,1,2,0,1,1
2024-07-10,openpr,1,1,0,0,1,1
2025-02-23,cnbc,0,0,3,0,0,4
2024-07-19,seekingalpha,1,0,5,0,0,1
2024-08-20,benzinga,0,0,0,0,0,1
2024-08-20,benzinga,0,0,0,0,0,1
2024-11-18,benzinga,0,0,0,1,0,1
2025-02-26,financialpost,0,1,0,0,3,1
2024-09-25,globenewswire,1,0,2,1,1,1
2024-09-25,globenewswire_fr,1,0,2,1,1,1
2024-08-29,seekingalpha,1,1,7,0,1,2
2024-09-10,yahoo,2,1,0,0,0,3
2024-09-10,yahoo_sg,2,1,0,0,0,3
2024-09-10,yahoo_sg,2,1,0,0,0,3
2024-07-31,fool,2,0,4,0,0,2
2024-10-30,seekingalpha,3,1,1,0,0,2
2024-08-07,seekingalpha,1,1,7,1,0,2
2024-07-31,seekingalpha,2,0,4,0,0,2
2024-10-24,benzinga,1,0,0,0,0,1
2024-07-19,seekingalpha,0,0,6,0,0,2
2024-11-01,fool,9,1,6,0,1,2
2024-08-20,seekingalpha,0,0,3,0,0,1
2024-07-19,seekingalpha,0,1,3,0,0,1
2024-12-10,openpr,1,0,0,0,1,1
2024-12-29,benzinga,0,0,1,0,0,1
2024-11-01,fool,1,0,5,1,0,2
2024-10-30,globenewswire,1,0,2,0,0,2
2024-08-19,seekingalpha,1,0,2,0,0,2
2024-08-21,seekingalpha,3,0,3,0,0,2
2024-08-09,seekingalpha,1,1,1,0,0,2
2024-08-11,seekingalpha,0,1,1,0,0,1
2024-08-30,benzinga,1,0,4,0,0,3
2025-02-21,openpr,1,0,0,0,0,1
2024-10-24,benzinga,0,1,5,0,1,1
2024-10-24,fool,5,1,4,0,0,2
2024-09-26,seekingalpha,0,2,4,0,0,1
2024-07-09,seekingalpha,0,0,2,0,0,1
2024-07-10,investorplace,0,0,1,0,0,2
2024-12-01,fool,0,0,2,0,0,1
2024-08-08,investorplace,0,0,0,0,1,1
2025-02-25,benzinga,0,0,7,1,0,2
2024-12-20,globenewswire,0,0,0,0,0,1
