date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,dominant_LDA_topic,dominant_dictionary_topic
2024-07-25,thehindu,1,0,1,0,0,1,0.12935008,0.0,0.21775895,0.65263146,0.0,3,supply_side
2024-07-24,yahoo,1,0,1,0,0,1,0.081617065,0.0,0.25623408,0.6618825,0.0,3,supply_side
2024-07-24,yahoo_sg,1,0,1,0,0,1,0.081659146,0.0,0.25619462,0.6618799,0.0,3,supply_side
2024-11-01,benzinga,3,0,7,1,2,4,0.052760173,0.0,0.07458561,0.78316104,0.08948545,3,financial_risk
2024-10-28,benzinga,0,0,0,0,0,1,0.085950695,0.0,0.012747665,0.8789706,0.022256922,3,natural_factor
2024-09-20,benzinga,0,0,0,0,0,1,0.15828165,0.0,0.0,0.81811064,0.023370273,3,natural_factor
2024-07-29,fool,0,1,1,0,1,1,0.25758123,0.0,0.0,0.687272,0.05486936,3,demand_side
2024-07-31,seekingalpha,0,0,3,0,0,1,0.22759704,0.0,0.07676172,0.67986834,0.015744645,3,financial_risk
2024-07-31,seekingalpha,4,0,5,0,0,2,0.49386618,0.0,0.05513592,0.4509051,0.0,0,financial_risk
2024-12-23,startribune,0,0,0,0,0,1,0.0,0.0,0.37657177,0.62271297,0.0,3,natural_factor
2024-10-28,benzinga,1,0,2,0,0,1,0.11980488,0.0,0.0,0.8682312,0.011699712,3,financial_risk
2024-10-30,seekingalpha,0,0,4,0,0,1,0.25597516,0.0,0.07967266,0.6642359,0.0,3,financial_risk
2024-08-21,seekingalpha,2,1,3,0,0,2,0.17300884,0.0,0.10174675,0.705598,0.01758239,3,financial_risk
2024-08-20,seekingalpha,0,0,1,0,0,1,0.2858482,0.0,0.0,0.71293586,0.0,3,financial_risk
2024-07-09,seekingalpha,2,0,4,0,0,1,0.3545336,0.0,0.07657855,0.56876105,0.0,3,financial_risk
2024-11-01,benzinga,0,0,5,0,0,1,0.05158609,0.0,0.11011041,0.8322786,0.0,3,financial_risk
2024-10-24,benzinga,2,0,4,1,0,1,0.01431938,0.0,0.083418906,0.89368826,0.0,3,financial_risk
2024-11-19,openpr,1,1,0,0,2,1,0.8075255,0.0,0.0,0.17319448,0.017256377,0,esg_regulation
2024-06-29,seekingalpha,0,0,3,0,0,1,0.24872965,0.0,0.056442328,0.69475883,0.0,3,financial_risk
2024-07-30,fool,0,0,1,0,0,1,0.028015563,0.0,0.2747791,0.6969175,0.0,3,financial_risk
2024-08-18,investorplace,0,0,0,0,0,1,0.7499242,0.05148773,0.042717524,0.15570945,0.0,0,natural_factor
2024-12-29,oilprice,1,0,2,1,0,1,0.32597312,0.017760042,0.0,0.64648944,0.0,3,financial_risk
2024-07-20,seekingalpha,2,2,4,0,0,1,0.27101737,0.0,0.040839355,0.68803793,0.0,3,financial_risk
2024-07-22,seekingalpha,1,1,4,0,1,1,0.28705466,0.0,0.0,0.6461628,0.066649996,3,financial_risk
2024-11-11,benzinga,3,0,7,0,0,4,0.0,0.0,0.15582876,0.8280029,0.010343181,3,financial_risk
2024-10-29,benzinga,1,0,0,0,0,1,0.09303643,0.0,0.0,0.90647167,0.0,3,supply_side
2024-11-10,investorplace,2,1,2,0,1,1,0.38237116,0.0,0.2079741,0.38803822,0.021584192,3,supply_side
2024-07-10,openpr,1,1,0,0,1,1,0.74538386,0.0,0.07374974,0.14717855,0.033647936,0,supply_side
2025-02-23,cnbc,0,0,3,0,0,4,0.41835526,0.015877998,0.032672524,0.52608067,0.0,3,natural_factor
2024-07-19,seekingalpha,1,0,5,0,0,1,0.22618012,0.0,0.20675774,0.52545345,0.036249384,3,financial_risk
2024-08-20,benzinga,0,0,0,0,0,1,0.0669427,0.0,0.10785504,0.767457,0.057655808,3,natural_factor
2024-11-18,benzinga,0,0,0,1,0,1,0.112531275,0.0,0.57072604,0.23965281,0.07700419,2,geopolitical_risk
2025-02-26,financialpost,0,1,0,0,3,1,0.32540885,0.0,0.26820248,0.21290863,0.19339418,0,esg_regulation
2024-09-25,globenewswire,1,0,2,1,1,1,0.03269853,0.0,0.30257985,0.51896316,0.1457218,3,financial_risk
2024-09-25,globenewswire_fr,1,0,2,1,1,1,0.032694373,0.0,0.3025832,0.51896346,0.1457223,3,financial_risk
2024-08-29,seekingalpha,1,1,7,0,1,2,0.20745347,0.0,0.04974997,0.68996865,0.049131926,3,financial_risk
2024-09-10,yahoo,2,1,0,0,0,3,0.0,0.0,0.0,0.9428148,0.056374166,3,natural_factor
2024-09-10,yahoo_sg,2,1,0,0,0,3,0.0,0.0,0.0,0.94281113,0.0563778,3,natural_factor
