dominant_dictionary_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
demand_side,ACDC,2022Q2,1,2,2,131,0.007633588,0.015267176
demand_side,AESI,2021Q3,1,0,0,216,0.00462963,0
demand_side,APA,2001Q3,1,-1,-1,10,0.1,-0.1
demand_side,APA,2005Q2,1,0,0,18,0.055555556,0
demand_side,APA,2010Q3,1,0,0,92,0.010869565,0
demand_side,APA,2013Q1,1,0,0,68,0.014705882,0
demand_side,APA,2013Q2,2,-1,-2,47,0.042553191,-0.085106383
demand_side,APA,2013Q4,1,0,0,41,0.024390244,0
demand_side,APA,2016Q1,1,0,0,88,0.011363636,0
demand_side,APA,2017Q1,1,0,0,73,0.01369863,0
demand_side,APA,2018Q3,1,1,1,126,0.007936508,0.007936508
demand_side,APA,2018Q4,1,-1,-1,143,0.006993007,-0.006993007
demand_side,APA,2019Q1,2,0,0,140,0.014285714,0
demand_side,APA,2019Q2,1,0,0,154,0.006493506,0
demand_side,APA,2019Q4,1,0,0,172,0.005813953,0
demand_side,APA,2020Q4,2,0,0,180,0.011111111,0
demand_side,APA,2021Q3,3,0,0,216,0.013888889,0
demand_side,APA,2021Q4,2,0,0,164,0.012195122,0
demand_side,APA,2022Q1,1,-2,-2,150,0.006666667,-0.013333333
demand_side,APA,2022Q2,3,0,0,131,0.022900763,0
demand_side,APA,2022Q3,2,0,0,103,0.019417476,0
demand_side,APA,2022Q4,2,0,0,153,0.013071895,0
demand_side,APA,2023Q1,1,0,0,151,0.006622517,0
demand_side,APA,2023Q2,2,0,0,212,0.009433962,0
demand_side,APA,2023Q4,1,0,0,130,0.007692308,0
demand_side,APA,2024Q2,1,0,0,102,0.009803922,0
demand_side,APA,2024Q3,1,0,0,163,0.006134969,0
demand_side,AR,2011Q2,1,0,0,35,0.028571429,0
demand_side,AR,2016Q3,2,0,0,88,0.022727273,0
demand_side,AR,2017Q3,2,0,0,112,0.017857143,0
demand_side,AR,2018Q1,1,0,0,94,0.010638298,0
demand_side,AR,2018Q4,1,0,0,143,0.006993007,0
demand_side,AR,2019Q1,1,0,0,140,0.007142857,0
demand_side,AR,2019Q2,1,0,0,154,0.006493506,0
demand_side,AR,2019Q3,1,0,0,157,0.006369427,0
demand_side,AR,2020Q1,1,0,0,213,0.004694836,0
demand_side,AR,2021Q3,1,0,0,216,0.00462963,0
demand_side,AR,2021Q4,1,0,0,164,0.006097561,0
demand_side,AR,2023Q1,1,0,0,151,0.006622517,0
demand_side,AR,2023Q2,2,0,0,212,0.009433962,0
demand_side,BATL,2013Q3,1,0,0,55,0.018181818,0
demand_side,BATL,2024Q3,1,-1,-1,163,0.006134969,-0.006134969
demand_side,BORR,2017Q3,1,0,0,112,0.008928571,0
demand_side,BRN,2018Q4,1,0,0,143,0.006993007,0
demand_side,BSM,2015Q4,1,0,0,74,0.013513514,0
demand_side,BSM,2019Q2,1,0,0,154,0.006493506,0
demand_side,BSM,2021Q1,1,0,0,215,0.004651163,0
demand_side,CLB,1999Q1,1,0,0,18,0.055555556,0
demand_side,CLB,2015Q2,1,0,0,59,0.016949153,0
demand_side,CPE,2000Q3,1,0,0,8,0.125,0
demand_side,CPE,2010Q2,1,0,0,55,0.018181818,0
demand_side,CPE,2016Q4,1,0,0,73,0.01369863,0
demand_side,CPE,2017Q2,1,0,0,98,0.010204082,0
demand_side,CPE,2019Q4,1,0,0,172,0.005813953,0
demand_side,CPE,2020Q2,2,-1,-2,190,0.010526316,-0.021052632
demand_side,CPE,2021Q1,1,0,0,215,0.004651163,0
demand_side,CPE,2022Q4,1,0,0,153,0.006535948,0
demand_side,CRC,2009Q2,1,0,0,15,0.066666667,0
demand_side,CRC,2016Q3,1,0,0,88,0.011363636,0
