dominant_LDA_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
0,ACDC,2000Q3,1,0,0,8,0.125,0
0,AESI,2019Q3,1,0,0,157,0.006369427,0
0,AESI,2021Q3,2,0,0,216,0.009259259,0
0,AESI,2024Q4,1,0,0,146,0.006849315,0
0,APA,1999Q1,3,-0.666666667,-2,18,0.166666667,-0.333333333
0,APA,1999Q3,1,0,0,14,0.071428571,0
0,APA,2000Q3,1,1,1,8,0.125,0.125
0,APA,2000Q4,1,0,0,9,0.111111111,0
0,APA,2001Q1,2,1,2,22,0.090909091,0.181818182
0,APA,2001Q2,1,0,0,11,0.090909091,0
0,APA,2002Q1,1,0,0,32,0.03125,0
0,APA,2002Q4,2,0,0,9,0.222222222,0
0,APA,2007Q2,2,0,0,23,0.086956522,0
0,APA,2008Q3,1,-2,-2,8,0.125,-0.25
0,APA,2009Q3,1,0,0,27,0.037037037,0
0,APA,2011Q1,2,0,0,39,0.051282051,0
0,APA,2011Q2,1,0,0,35,0.028571429,0
0,APA,2011Q3,1,0,0,28,0.035714286,0
0,APA,2011Q4,1,0,0,38,0.026315789,0
0,APA,2012Q2,1,0,0,35,0.028571429,0
0,APA,2012Q3,2,0,0,54,0.037037037,0
0,APA,2012Q4,1,0,0,45,0.022222222,0
0,APA,2013Q4,2,-0.5,-1,41,0.048780488,-0.048780488
0,APA,2014Q2,1,0,0,38,0.026315789,0
0,APA,2014Q3,1,0,0,39,0.025641026,0
0,APA,2014Q4,1,0,0,81,0.012345679,0
0,APA,2016Q1,1,0,0,88,0.011363636,0
0,APA,2016Q2,2,1,2,90,0.022222222,0.044444444
0,APA,2016Q3,2,0.5,1,88,0.022727273,0.022727273
0,APA,2016Q4,1,0,0,73,0.01369863,0
0,APA,2017Q1,1,-1,-1,73,0.01369863,-0.01369863
0,APA,2018Q1,2,0,0,94,0.021276596,0
0,APA,2018Q3,2,0,0,126,0.015873016,0
0,APA,2018Q4,3,-0.333333333,-1,143,0.020979021,-0.020979021
0,APA,2019Q1,1,0,0,140,0.007142857,0
0,APA,2019Q3,1,0,0,157,0.006369427,0
0,APA,2019Q4,1,0,0,172,0.005813953,0
0,APA,2020Q1,1,0,0,213,0.004694836,0
0,APA,2020Q2,1,0,0,190,0.005263158,0
0,APA,2021Q2,1,0,0,193,0.005181347,0
0,APA,2021Q3,2,0,0,216,0.009259259,0
0,APA,2021Q4,1,1,1,164,0.006097561,0.006097561
0,APA,2022Q1,1,0,0,150,0.006666667,0
0,APA,2022Q2,1,0,0,131,0.007633588,0
0,APA,2022Q3,4,0,0,103,0.038834951,0
0,APA,2022Q4,4,0,0,153,0.026143791,0
0,APA,2023Q1,3,0.333333333,1,151,0.01986755,0.01986755
0,APA,2023Q2,3,0,0,212,0.014150943,0
0,APA,2023Q3,4,0,0,137,0.02919708,0
0,APA,2023Q4,4,0,0,130,0.030769231,0
0,APA,2024Q1,2,0,0,128,0.015625,0
0,APA,2024Q3,7,0.857142857,6,163,0.042944785,0.257668712
0,APA,2024Q4,4,0.5,2,146,0.02739726,0.054794521
0,AR,2009Q2,1,0,0,15,0.066666667,0
0,AR,2011Q2,1,0,0,35,0.028571429,0
0,AR,2015Q3,1,0,0,95,0.010526316,0
0,AR,2016Q1,1,0,0,88,0.011363636,0
0,AR,2017Q1,2,0,0,73,0.02739726,0
0,AR,2017Q2,1,0,0,98,0.010204082,0
0,AR,2017Q3,2,0,0,112,0.017857143,0
0,AR,2018Q2,2,0,0,130,0.015384615,0
0,AR,2018Q3,2,-0.5,-1,126,0.015873016,-0.015873016
0,AR,2018Q4,1,0,0,143,0.006993007,0
0,AR,2019Q1,2,0,0,140,0.014285714,0
0,AR,2019Q3,1,0,0,157,0.006369427,0
0,AR,2020Q1,1,0,0,213,0.004694836,0
0,AR,2020Q2,2,0,0,190,0.010526316,0
0,AR,2020Q3,1,0,0,144,0.006944444,0
0,AR,2021Q1,3,-0.333333333,-1,215,0.013953488,-0.013953488
0,AR,2021Q3,2,0,0,216,0.009259259,0
0,AR,2021Q4,2,0,0,164,0.012195122,0
0,AR,2022Q1,1,0,0,150,0.006666667,0
0,AR,2022Q2,2,0,0,131,0.015267176,0
0,AR,2022Q4,1,0,0,153,0.006535948,0
0,AR,2023Q1,4,0,0,151,0.026490066,0
0,AR,2023Q2,3,0,0,212,0.014150943,0
0,AR,2024Q4,1,0,0,146,0.006849315,0
0,BATL,2020Q2,1,0,0,190,0.005263158,0
0,BORR,2017Q3,1,0,0,112,0.008928571,0
0,BORR,2018Q4,1,0,0,143,0.006993007,0
0,BORR,2019Q3,1,0,0,157,0.006369427,0
0,BORR,2020Q3,2,0,0,144,0.013888889,0
0,BORR,2020Q4,1,0,0,180,0.005555556,0
0,BORR,2021Q2,1,0,0,193,0.005181347,0
0,BRN,2013Q1,2,0,0,68,0.029411765,0
0,BRN,2015Q3,1,0,0,95,0.010526316,0
0,BRN,2016Q2,2,0,0,90,0.022222222,0
0,BRN,2016Q3,1,0,0,88,0.011363636,0
0,BRN,2017Q2,1,0,0,98,0.010204082,0
0,BRN,2018Q1,1,0,0,94,0.010638298,0
0,BRN,2018Q4,1,0,0,143,0.006993007,0
0,BRN,2019Q1,1,0,0,140,0.007142857,0
0,BRN,2019Q3,1,0,0,157,0.006369427,0
0,BRN,2019Q4,2,0,0,172,0.011627907,0
0,BRN,2020Q1,3,0,0,213,0.014084507,0
0,BRN,2022Q2,3,0,0,131,0.022900763,0
