ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
ACDC,1999Q1,2,0,0,18,0.111111111,0
ACDC,2000Q3,1,0,0,8,0.125,0
ACDC,2015Q3,1,0,0,95,0.010526316,0
ACDC,2022Q2,3,0,0,131,0.022900763,0
ACDC,2023Q1,1,0,0,151,0.006622517,0
ACDC,2024Q2,1,0,0,102,0.009803922,0
AESI,2019Q3,1,0,0,157,0.006369427,0
AESI,2020Q2,1,0,0,190,0.005263158,0
AESI,2020Q4,1,0,0,180,0.005555556,0
AESI,2021Q3,4,0,0,216,0.018518519,0
AESI,2021Q4,4,0,0,164,0.024390244,0
AESI,2022Q1,2,0.5,1,150,0.013333333,0.013333333
AESI,2022Q4,1,0,0,153,0.006535948,0
AESI,2023Q1,3,0.333333333,1,151,0.01986755,0.01986755
AESI,2024Q4,1,0,0,146,0.006849315,0
APA,1998Q4,4,-0.5,-2,8,0.5,-1
APA,1999Q1,11,0,0,18,0.611111111,0
APA,1999Q2,1,0,0,6,0.166666667,0
APA,1999Q3,4,0,0,14,0.285714286,0
APA,1999Q4,1,0,0,6,0.166666667,0
APA,2000Q1,1,0,0,8,0.125,0
APA,2000Q2,1,0,0,10,0.1,0
APA,2000Q3,1,1,1,8,0.125,0.125
APA,2000Q4,2,0,0,9,0.222222222,0
APA,2001Q1,4,0.5,2,22,0.181818182,0.363636364
APA,2001Q2,1,0,0,11,0.090909091,0
APA,2001Q3,2,-0.5,-1,10,0.2,-0.2
APA,2001Q4,2,0,0,12,0.166666667,0
APA,2002Q1,3,0,0,32,0.09375,0
APA,2002Q2,2,0,0,12,0.166666667,0
APA,2002Q3,1,0,0,8,0.125,0
APA,2002Q4,4,0,0,9,0.444444444,0
APA,2003Q1,1,0,0,3,0.333333333,0
APA,2003Q2,6,-0.166666667,-1,10,0.6,-0.6
APA,2003Q4,1,1,1,11,0.090909091,0.090909091
APA,2004Q1,1,0,0,19,0.052631579,0
APA,2004Q3,2,0.5,1,14,0.142857143,0.142857143
APA,2005Q1,1,0,0,17,0.058823529,0
APA,2005Q2,1,0,0,18,0.055555556,0
APA,2005Q3,1,0,0,6,0.166666667,0
APA,2006Q1,1,0,0,10,0.1,0
APA,2006Q2,2,0,0,16,0.125,0
APA,2006Q3,1,0,0,18,0.055555556,0
APA,2007Q1,3,0,0,9,0.333333333,0
APA,2007Q2,16,0.125,2,23,0.695652174,1.391304348
APA,2007Q4,1,0,0,6,0.166666667,0
APA,2008Q1,2,0,0,10,0.2,0
APA,2008Q2,1,0,0,9,0.111111111,0
APA,2008Q3,1,-2,-2,8,0.125,-0.25
APA,2009Q1,1,-2,-2,19,0.052631579,-0.105263158
APA,2009Q3,4,-0.25,-1,27,0.148148148,-0.148148148
APA,2009Q4,1,0,0,32,0.03125,0
APA,2010Q1,2,0,0,25,0.08,0
APA,2010Q2,5,0.2,1,55,0.090909091,0.090909091
APA,2010Q3,9,-0.222222222,-2,92,0.097826087,-0.195652174
APA,2010Q4,4,0,0,41,0.097560976,0
APA,2011Q1,3,0,0,39,0.076923077,0
APA,2011Q2,5,0.4,2,35,0.142857143,0.285714286
APA,2011Q3,4,0,0,28,0.142857143,0
APA,2011Q4,8,0,0,38,0.210526316,0
APA,2012Q1,7,0,0,48,0.145833333,0
APA,2012Q2,9,-0.111111111,-1,35,0.257142857,-0.257142857
APA,2012Q3,13,-0.076923077,-1,54,0.240740741,-0.240740741
APA,2012Q4,9,-0.111111111,-1,45,0.2,-0.2
APA,2013Q1,1,0,0,68,0.014705882,0
APA,2013Q2,5,-0.6,-3,47,0.106382979,-0.319148936
APA,2013Q3,2,0,0,55,0.036363636,0
APA,2013Q4,4,-0.25,-1,41,0.097560976,-0.097560976
APA,2014Q2,6,0,0,38,0.157894737,0
APA,2014Q3,7,-0.142857143,-1,39,0.179487179,-0.179487179
APA,2014Q4,5,0,0,81,0.061728395,0
APA,2015Q1,5,0,0,73,0.068493151,0
APA,2015Q2,4,-0.25,-1,59,0.06779661,-0.06779661
APA,2015Q3,3,0,0,95,0.031578947,0
APA,2015Q4,2,0,0,74,0.027027027,0
APA,2016Q1,2,0,0,88,0.022727273,0
APA,2016Q2,7,0.142857143,1,90,0.077777778,0.077777778
APA,2016Q3,5,0.2,1,88,0.056818182,0.056818182
APA,2016Q4,6,-0.166666667,-1,73,0.082191781,-0.082191781
APA,2017Q1,8,-0.25,-2,73,0.109589041,-0.219178082
APA,2017Q2,2,0,0,98,0.020408163,0
APA,2017Q3,2,0,0,112,0.017857143,0
APA,2017Q4,8,0,0,125,0.064,0
APA,2018Q1,5,0,0,94,0.053191489,0
APA,2018Q2,10,0,0,130,0.076923077,0
APA,2018Q3,10,0.3,3,126,0.079365079,0.238095238
APA,2018Q4,21,-0.238095238,-5,143,0.146853147,-0.734265734
APA,2019Q1,10,0,0,140,0.071428571,0
APA,2019Q2,13,0,0,154,0.084415584,0
APA,2019Q3,5,0.2,1,157,0.031847134,0.031847134
APA,2019Q4,6,0,0,172,0.034883721,0
APA,2020Q1,8,-0.125,-1,213,0.037558685,-0.037558685
APA,2020Q2,12,0,0,190,0.063157895,0
APA,2020Q3,5,0.2,1,144,0.034722222,0.034722222
APA,2020Q4,15,0.133333333,2,180,0.083333333,0.166666667
APA,2021Q1,11,0.090909091,1,215,0.051162791,0.051162791
APA,2021Q2,6,0,0,193,0.031088083,0
APA,2021Q3,17,-0.058823529,-1,216,0.078703704,-0.078703704
APA,2021Q4,13,0.307692308,4,164,0.079268293,0.317073171
APA,2022Q1,8,-0.375,-3,150,0.053333333,-0.16
APA,2022Q2,8,0,0,131,0.061068702,0
APA,2022Q3,14,0,0,103,0.13592233,0
APA,2022Q4,16,-0.0625,-1,153,0.104575163,-0.104575163
APA,2023Q1,13,0.230769231,3,151,0.086092715,0.258278146
APA,2023Q2,20,0.1,2,212,0.094339623,0.188679245
APA,2023Q3,19,0,0,137,0.138686131,0
APA,2023Q4,17,-0.117647059,-2,130,0.130769231,-0.261538462
APA,2024Q1,8,0,0,128,0.0625,0
APA,2024Q2,1,0,0,102,0.009803922,0
APA,2024Q3,17,0.588235294,10,163,0.104294479,1.042944785
APA,2024Q4,8,0.25,2,146,0.054794521,0.109589041
APA,2025Q1,2,-1,-2,9,0.222222222,-0.444444444
AR,2005Q4,1,0,0,17,0.058823529,0
AR,2009Q2,1,0,0,15,0.066666667,0
AR,2009Q4,1,0,0,32,0.03125,0
AR,2011Q1,1,0,0,39,0.025641026,0
AR,2011Q2,3,0,0,35,0.085714286,0
AR,2013Q4,1,0,0,41,0.024390244,0
AR,2014Q1,2,0,0,29,0.068965517,0
AR,2015Q3,1,0,0,95,0.010526316,0
AR,2015Q4,1,-1,-1,74,0.013513514,-0.013513514
AR,2016Q1,4,0,0,88,0.045454545,0
AR,2016Q2,1,0,0,90,0.011111111,0
AR,2016Q3,8,0,0,88,0.090909091,0
AR,2017Q1,5,0.2,1,73,0.068493151,0.068493151
AR,2017Q2,4,0,0,98,0.040816327,0
AR,2017Q3,9,-0.222222222,-2,112,0.080357143,-0.160714286
AR,2017Q4,2,0,0,125,0.016,0
AR,2018Q1,4,-0.25,-1,94,0.042553191,-0.042553191
AR,2018Q2,5,0,0,130,0.038461538,0
AR,2018Q3,6,-0.166666667,-1,126,0.047619048,-0.047619048
AR,2018Q4,3,0,0,143,0.020979021,0
AR,2019Q1,8,0,0,140,0.057142857,0
AR,2019Q2,5,0,0,154,0.032467532,0
AR,2019Q3,4,0,0,157,0.025477707,0
AR,2019Q4,4,0,0,172,0.023255814,0
AR,2020Q1,7,-0.571428571,-4,213,0.03286385,-0.131455399
AR,2020Q2,12,0,0,190,0.063157895,0
AR,2020Q3,3,0,0,144,0.020833333,0
AR,2020Q4,7,0,0,180,0.038888889,0
AR,2021Q1,14,-0.071428571,-1,215,0.065116279,-0.065116279
AR,2021Q2,2,0,0,193,0.010362694,0
AR,2021Q3,12,0,0,216,0.055555556,0
AR,2021Q4,14,0,0,164,0.085365854,0
AR,2022Q1,9,0,0,150,0.06,0
AR,2022Q2,7,0.142857143,1,131,0.053435115,0.053435115
AR,2022Q3,2,0,0,103,0.019417476,0
AR,2022Q4,4,0,0,153,0.026143791,0
AR,2023Q1,8,-0.25,-2,151,0.052980132,-0.105960265
AR,2023Q2,14,0,0,212,0.066037736,0
AR,2023Q3,1,0,0,137,0.00729927,0
AR,2023Q4,3,0,0,130,0.023076923,0
AR,2024Q1,2,0,0,128,0.015625,0
AR,2024Q2,2,0,0,102,0.019607843,0
AR,2024Q3,5,0.6,3,163,0.030674847,0.09202454
AR,2024Q4,7,0.285714286,2,146,0.047945205,0.095890411
BATL,2013Q3,1,0,0,55,0.018181818,0
BATL,2018Q4,1,0,0,143,0.006993007,0
BATL,2020Q2,2,0,0,190,0.010526316,0
BATL,2024Q3,1,-1,-1,163,0.006134969,-0.006134969
BATL,2024Q4,2,-1,-2,146,0.01369863,-0.02739726
BORR,2016Q1,1,0,0,88,0.011363636,0
BORR,2017Q1,1,0,0,73,0.01369863,0
BORR,2017Q3,2,0,0,112,0.017857143,0
BORR,2018Q4,1,0,0,143,0.006993007,0
BORR,2019Q3,1,0,0,157,0.006369427,0
BORR,2020Q3,3,0,0,144,0.020833333,0
BORR,2020Q4,1,0,0,180,0.005555556,0
BORR,2021Q1,2,0,0,215,0.009302326,0
BORR,2021Q2,4,0,0,193,0.020725389,0
BORR,2024Q3,1,0,0,163,0.006134969,0
BRN,2013Q1,2,0,0,68,0.029411765,0
BRN,2013Q4,1,0,0,41,0.024390244,0
BRN,2014Q2,1,0,0,38,0.026315789,0
BRN,2015Q3,2,0,0,95,0.021052632,0
BRN,2016Q2,5,0,0,90,0.055555556,0
BRN,2016Q3,1,0,0,88,0.011363636,0
BRN,2017Q2,1,0,0,98,0.010204082,0
BRN,2017Q3,1,0,0,112,0.008928571,0
BRN,2017Q4,1,0,0,125,0.008,0
BRN,2018Q1,1,0,0,94,0.010638298,0
BRN,2018Q4,2,0,0,143,0.013986014,0
BRN,2019Q1,1,0,0,140,0.007142857,0
BRN,2019Q3,1,0,0,157,0.006369427,0
BRN,2019Q4,2,0,0,172,0.011627907,0
BRN,2020Q1,7,0,0,213,0.03286385,0
BRN,2021Q1,1,0,0,215,0.004651163,0
BRN,2022Q1,1,0,0,150,0.006666667,0
BRN,2022Q2,4,0,0,131,0.030534351,0
BRN,2022Q3,1,0,0,103,0.009708738,0
BRN,2022Q4,1,0,0,153,0.006535948,0
BRN,2023Q1,4,0,0,151,0.026490066,0
BRN,2023Q2,3,0,0,212,0.014150943,0
BRN,2024Q1,4,-0.25,-1,128,0.03125,-0.03125
BRN,2024Q2,2,-0.5,-1,102,0.019607843,-0.019607843
BRN,2024Q3,1,0,0,163,0.006134969,0
BSM,2009Q1,1,0,0,19,0.052631579,0
BSM,2010Q2,2,0,0,55,0.036363636,0
BSM,2015Q4,2,0,0,74,0.027027027,0
BSM,2016Q1,2,0,0,88,0.022727273,0
BSM,2016Q3,1,0,0,88,0.011363636,0
BSM,2017Q1,1,0,0,73,0.01369863,0
BSM,2017Q2,1,0,0,98,0.010204082,0
BSM,2017Q3,1,0,0,112,0.008928571,0
BSM,2017Q4,1,0,0,125,0.008,0
BSM,2019Q2,1,0,0,154,0.006493506,0
BSM,2019Q4,1,-1,-1,172,0.005813953,-0.005813953
BSM,2020Q4,5,0,0,180,0.027777778,0
BSM,2021Q1,13,0.076923077,1,215,0.060465116,0.060465116
BSM,2021Q2,2,0,0,193,0.010362694,0
BSM,2021Q4,1,0,0,164,0.006097561,0
BSM,2023Q1,1,0,0,151,0.006622517,0
BSM,2023Q3,1,0,0,137,0.00729927,0
BSM,2023Q4,1,0,0,130,0.007692308,0
CCLP,2008Q1,1,0,0,10,0.1,0
CHRD,2024Q3,2,1,2,163,0.012269939,0.024539877
CLB,1998Q3,1,0,0,3,0.333333333,0
CLB,1999Q1,3,0,0,18,0.166666667,0
CLB,2002Q4,1,0,0,9,0.111111111,0
CLB,2004Q2,2,0,0,11,0.181818182,0
CLB,2004Q3,1,0,0,14,0.071428571,0
CLB,2005Q1,2,0,0,17,0.117647059,0
CLB,2009Q1,1,0,0,19,0.052631579,0
CLB,2009Q2,1,0,0,15,0.066666667,0
CLB,2010Q2,1,0,0,55,0.018181818,0
CLB,2011Q4,3,0,0,38,0.078947368,0
CLB,2012Q3,2,0,0,54,0.037037037,0
CLB,2014Q2,1,0,0,38,0.026315789,0
CLB,2014Q3,1,0,0,39,0.025641026,0
CLB,2015Q2,2,0,0,59,0.033898305,0
CLB,2017Q2,2,0,0,98,0.020408163,0
CLB,2018Q2,3,0,0,130,0.023076923,0
CLB,2019Q1,1,0,0,140,0.007142857,0
CLB,2020Q1,1,0,0,213,0.004694836,0
CLB,2023Q2,2,0,0,212,0.009433962,0
CLB,2023Q3,1,0,0,137,0.00729927,0
CLB,2024Q4,1,2,2,146,0.006849315,0.01369863
CNQ,2024Q3,2,1,2,163,0.012269939,0.024539877
CPE,1998Q3,1,0,0,3,0.333333333,0
CPE,2000Q1,1,0,0,8,0.125,0
CPE,2000Q3,1,0,0,8,0.125,0
CPE,2002Q1,1,0,0,32,0.03125,0
CPE,2005Q1,1,0,0,17,0.058823529,0
CPE,2006Q1,4,-0.25,-1,10,0.4,-0.4
CPE,2006Q2,4,0,0,16,0.25,0
CPE,2010Q2,2,0,0,55,0.036363636,0
CPE,2010Q3,1,0,0,92,0.010869565,0
CPE,2012Q1,1,0,0,48,0.020833333,0
CPE,2013Q2,1,0,0,47,0.021276596,0
CPE,2015Q3,1,0,0,95,0.010526316,0
CPE,2016Q1,1,1,1,88,0.011363636,0.011363636
CPE,2016Q2,1,0,0,90,0.011111111,0
CPE,2016Q4,3,0,0,73,0.04109589,0
CPE,2017Q2,2,-0.5,-1,98,0.020408163,-0.020408163
CPE,2017Q4,1,0,0,125,0.008,0
CPE,2019Q3,7,0,0,157,0.044585987,0
CPE,2019Q4,5,0.2,1,172,0.029069767,0.029069767
CPE,2020Q1,4,0,0,213,0.018779343,0
CPE,2020Q2,4,-0.5,-2,190,0.021052632,-0.042105263
CPE,2020Q3,1,0,0,144,0.006944444,0
CPE,2020Q4,1,0,0,180,0.005555556,0
CPE,2021Q1,10,0,0,215,0.046511628,0
CPE,2021Q2,9,0.111111111,1,193,0.046632124,0.046632124
CPE,2021Q3,2,0,0,216,0.009259259,0
CPE,2021Q4,4,0.25,1,164,0.024390244,0.024390244
CPE,2022Q1,1,0,0,150,0.006666667,0
CPE,2022Q2,1,0,0,131,0.007633588,0
CPE,2022Q3,1,0,0,103,0.009708738,0
CPE,2022Q4,2,0,0,153,0.013071895,0
CPE,2023Q3,1,0,0,137,0.00729927,0
CPE,2023Q4,1,0,0,130,0.007692308,0
CPE,2024Q1,1,0,0,128,0.0078125,0
CPE,2024Q2,1,0,0,102,0.009803922,0
CPE,2024Q4,1,0,0,146,0.006849315,0
CRC,1998Q2,1,0,0,3,0.333333333,0
CRC,1998Q3,1,0,0,3,0.333333333,0
CRC,1999Q3,1,0,0,14,0.071428571,0
CRC,2001Q2,1,0,0,11,0.090909091,0
CRC,2005Q1,1,0,0,17,0.058823529,0
CRC,2005Q2,2,0,0,18,0.111111111,0
CRC,2005Q4,1,0,0,17,0.058823529,0
CRC,2006Q3,2,0,0,18,0.111111111,0
CRC,2007Q3,1,0,0,12,0.083333333,0
CRC,2009Q2,1,0,0,15,0.066666667,0
CRC,2009Q3,1,0,0,27,0.037037037,0
CRC,2010Q4,1,0,0,41,0.024390244,0
CRC,2012Q1,4,0.5,2,48,0.083333333,0.166666667
CRC,2012Q4,1,0,0,45,0.022222222,0
CRC,2013Q1,2,0,0,68,0.029411765,0
CRC,2013Q2,1,0,0,47,0.021276596,0
CRC,2014Q1,1,0,0,29,0.034482759,0
CRC,2014Q3,2,-0.5,-1,39,0.051282051,-0.051282051
CRC,2014Q4,1,1,1,81,0.012345679,0.012345679
CRC,2015Q1,2,0,0,73,0.02739726,0
CRC,2015Q2,1,0,0,59,0.016949153,0
CRC,2015Q4,2,0,0,74,0.027027027,0
CRC,2016Q1,1,0,0,88,0.011363636,0
CRC,2016Q2,1,0,0,90,0.011111111,0
CRC,2016Q3,4,-0.25,-1,88,0.045454545,-0.045454545
CRC,2016Q4,1,0,0,73,0.01369863,0
CRC,2017Q2,1,0,0,98,0.010204082,0
CRC,2017Q4,2,0,0,125,0.016,0
CRC,2018Q2,3,0,0,130,0.023076923,0
CRC,2018Q3,2,0,0,126,0.015873016,0
CRC,2018Q4,2,0,0,143,0.013986014,0
CRC,2019Q3,3,0.666666667,2,157,0.01910828,0.038216561
CRC,2019Q4,9,0,0,172,0.052325581,0
CRC,2020Q1,6,0,0,213,0.028169014,0
CRC,2020Q2,8,0,0,190,0.042105263,0
CRC,2020Q3,6,0,0,144,0.041666667,0
CRC,2020Q4,6,-0.5,-3,180,0.033333333,-0.1
CRC,2021Q1,9,0,0,215,0.041860465,0
CRC,2021Q2,3,0,0,193,0.015544041,0
CRC,2021Q3,1,0,0,216,0.00462963,0
CRC,2021Q4,3,0.333333333,1,164,0.018292683,0.018292683
CRC,2022Q1,6,-0.166666667,-1,150,0.04,-0.04
CRC,2022Q2,1,0,0,131,0.007633588,0
CRC,2022Q3,5,0.2,1,103,0.048543689,0.048543689
CRC,2022Q4,4,0,0,153,0.026143791,0
CRC,2023Q1,14,-0.071428571,-1,151,0.092715232,-0.092715232
CRC,2023Q2,8,0,0,212,0.037735849,0
CRC,2023Q3,2,0,0,137,0.01459854,0
CRC,2023Q4,2,0,0,130,0.015384615,0
CRC,2024Q1,3,0,0,128,0.0234375,0
CRC,2024Q3,2,0,0,163,0.012269939,0
CRC,2024Q4,9,0.444444444,4,146,0.061643836,0.246575342
CRK,2001Q1,1,0,0,22,0.045454545,0
CRK,2004Q1,1,1,1,19,0.052631579,0.052631579
CRK,2007Q4,1,0,0,6,0.166666667,0
CRK,2008Q4,1,0,0,18,0.055555556,0
CRK,2013Q1,4,0,0,68,0.058823529,0
CRK,2013Q2,1,0,0,47,0.021276596,0
CRK,2013Q4,1,0,0,41,0.024390244,0
CRK,2014Q3,1,-1,-1,39,0.025641026,-0.025641026
CRK,2016Q2,1,-1,-1,90,0.011111111,-0.011111111
CRK,2018Q2,1,0,0,130,0.007692308,0
CRK,2019Q2,2,0,0,154,0.012987013,0
CRK,2019Q4,1,0,0,172,0.005813953,0
CRK,2020Q1,2,0,0,213,0.009389671,0
CRK,2020Q4,1,0,0,180,0.005555556,0
CRK,2021Q1,2,0,0,215,0.009302326,0
CRK,2021Q3,1,0,0,216,0.00462963,0
CRK,2022Q4,6,0,0,153,0.039215686,0
CRK,2023Q1,5,-0.2,-1,151,0.033112583,-0.033112583
CRK,2023Q2,8,-0.25,-2,212,0.037735849,-0.075471698
CRK,2023Q3,3,0,0,137,0.02189781,0
DCP,2005Q4,1,0,0,17,0.058823529,0
DCP,2006Q2,3,0,0,16,0.1875,0
DCP,2008Q3,2,0.5,1,8,0.25,0.25
DCP,2009Q3,1,0,0,27,0.037037037,0
DCP,2010Q2,3,0,0,55,0.054545455,0
DCP,2011Q1,1,0,0,39,0.025641026,0
DCP,2011Q4,1,0,0,38,0.026315789,0
DCP,2012Q1,1,0,0,48,0.020833333,0
DCP,2012Q2,1,0,0,35,0.028571429,0
DCP,2012Q3,2,-0.5,-1,54,0.037037037,-0.037037037
DCP,2012Q4,1,0,0,45,0.022222222,0
DCP,2015Q2,1,0,0,59,0.016949153,0
DCP,2015Q3,1,0,0,95,0.010526316,0
DCP,2016Q3,2,0,0,88,0.022727273,0
DCP,2017Q1,3,0,0,73,0.04109589,0
DCP,2017Q2,1,0,0,98,0.010204082,0
DCP,2017Q4,4,0.25,1,125,0.032,0.032
DCP,2018Q3,4,0,0,126,0.031746032,0
DCP,2019Q2,1,0,0,154,0.006493506,0
DCP,2020Q1,2,0,0,213,0.009389671,0
DCP,2020Q2,2,0,0,190,0.010526316,0
DCP,2020Q4,1,0,0,180,0.005555556,0
DCP,2021Q1,6,-0.166666667,-1,215,0.027906977,-0.027906977
DCP,2021Q2,1,0,0,193,0.005181347,0
DCP,2021Q3,1,0,0,216,0.00462963,0
DCP,2021Q4,3,0,0,164,0.018292683,0
DCP,2022Q1,2,1,2,150,0.013333333,0.026666667
DCP,2022Q2,1,1,1,131,0.007633588,0.007633588
DCP,2023Q1,4,0,0,151,0.026490066,0
DCP,2023Q2,2,1,2,212,0.009433962,0.018867925
DCP,2023Q3,5,0.4,2,137,0.03649635,0.072992701
DCP,2023Q4,2,0,0,130,0.015384615,0
DCP,2024Q3,2,1,2,163,0.012269939,0.024539877
DCP,2024Q4,3,0,0,146,0.020547945,0
DO,2010Q2,1,-1,-1,55,0.018181818,-0.018181818
DO,2015Q3,1,1,1,95,0.010526316,0.010526316
DO,2016Q1,1,1,1,88,0.011363636,0.011363636
DO,2018Q1,2,0,0,94,0.021276596,0
DO,2020Q2,10,-0.6,-6,190,0.052631579,-0.315789474
DO,2024Q3,1,1,1,163,0.006134969,0.006134969
DO,2025Q1,1,1,1,9,0.111111111,0.111111111
DWSN,2014Q4,1,0,0,81,0.012345679,0
DWSN,2020Q2,2,-0.5,-1,190,0.010526316,-0.010526316
EP,2001Q1,3,0,0,22,0.136363636,0
EP,2004Q1,1,0,0,19,0.052631579,0
EP,2004Q4,1,0,0,12,0.083333333,0
EP,2006Q2,1,0,0,16,0.0625,0
EP,2010Q2,1,0,0,55,0.018181818,0
EP,2010Q3,1,0,0,92,0.010869565,0
EP,2012Q3,2,0,0,54,0.037037037,0
EP,2013Q1,1,0,0,68,0.014705882,0
EP,2013Q2,2,0.5,1,47,0.042553191,0.042553191
EP,2013Q3,1,0,0,55,0.018181818,0
EP,2014Q4,1,0,0,81,0.012345679,0
EP,2015Q2,1,0,0,59,0.016949153,0
EP,2015Q3,1,0,0,95,0.010526316,0
EP,2015Q4,1,0,0,74,0.013513514,0
EP,2016Q2,1,0,0,90,0.011111111,0
EP,2017Q1,2,0,0,73,0.02739726,0
EP,2017Q3,1,0,0,112,0.008928571,0
EP,2017Q4,1,0,0,125,0.008,0
EP,2019Q1,1,0,0,140,0.007142857,0
EP,2019Q2,5,-0.2,-1,154,0.032467532,-0.032467532
EP,2019Q3,1,0,0,157,0.006369427,0
EP,2020Q1,7,0,0,213,0.03286385,0
EP,2020Q2,1,0,0,190,0.005263158,0
EP,2020Q3,2,0,0,144,0.013888889,0
EP,2020Q4,5,-0.2,-1,180,0.027777778,-0.027777778
EP,2021Q1,2,0,0,215,0.009302326,0
EP,2021Q2,3,0,0,193,0.015544041,0
EP,2021Q3,6,0,0,216,0.027777778,0
EP,2021Q4,1,0,0,164,0.006097561,0
EP,2022Q1,3,0,0,150,0.02,0
EP,2022Q2,3,0,0,131,0.022900763,0
EP,2022Q3,4,0,0,103,0.038834951,0
EP,2022Q4,1,0,0,153,0.006535948,0
EP,2023Q1,3,0,0,151,0.01986755,0
EP,2023Q2,4,0,0,212,0.018867925,0
EP,2023Q4,1,0,0,130,0.007692308,0
EP,2024Q1,3,0,0,128,0.0234375,0
EP,2024Q2,5,0,0,102,0.049019608,0
EP,2024Q3,1,0,0,163,0.006134969,0
EP,2024Q4,1,0,0,146,0.006849315,0
EPM,2000Q1,1,0,0,8,0.125,0
EPM,2014Q4,1,0,0,81,0.012345679,0
EPM,2015Q2,1,0,0,59,0.016949153,0
EPM,2018Q4,1,0,0,143,0.006993007,0
EPM,2019Q1,1,0,0,140,0.007142857,0
EPM,2019Q2,1,0,0,154,0.006493506,0
EPM,2019Q4,1,0,0,172,0.005813953,0
EPM,2020Q4,1,0,0,180,0.005555556,0
EPM,2021Q1,1,0,0,215,0.004651163,0
EPM,2021Q4,1,0,0,164,0.006097561,0
EPM,2022Q3,1,0,0,103,0.009708738,0
EPM,2022Q4,1,0,0,153,0.006535948,0
EPSN,2010Q2,1,0,0,55,0.018181818,0
EQT,2001Q2,1,0,0,11,0.090909091,0
EQT,2001Q4,1,0,0,12,0.083333333,0
EQT,2002Q3,1,0,0,8,0.125,0
EQT,2003Q2,2,0,0,10,0.2,0
EQT,2003Q4,2,0,0,11,0.181818182,0
EQT,2004Q1,1,0,0,19,0.052631579,0
EQT,2004Q2,1,0,0,11,0.090909091,0
EQT,2005Q1,1,0,0,17,0.058823529,0
EQT,2005Q2,1,0,0,18,0.055555556,0
EQT,2005Q4,6,0,0,17,0.352941176,0
EQT,2006Q3,2,0,0,18,0.111111111,0
EQT,2007Q1,3,0,0,9,0.333333333,0
EQT,2007Q4,1,0,0,6,0.166666667,0
EQT,2008Q1,2,0,0,10,0.2,0
EQT,2008Q2,1,0,0,9,0.111111111,0
EQT,2008Q4,1,0,0,18,0.055555556,0
EQT,2009Q3,1,1,1,27,0.037037037,0.037037037
EQT,2009Q4,3,0,0,32,0.09375,0
EQT,2010Q2,1,0,0,55,0.018181818,0
EQT,2010Q3,2,0,0,92,0.02173913,0
EQT,2010Q4,2,0,0,41,0.048780488,0
EQT,2011Q1,9,0,0,39,0.230769231,0
EQT,2011Q2,6,0,0,35,0.171428571,0
EQT,2011Q3,1,1,1,28,0.035714286,0.035714286
EQT,2011Q4,5,0,0,38,0.131578947,0
EQT,2012Q1,2,0,0,48,0.041666667,0
EQT,2012Q2,1,0,0,35,0.028571429,0
EQT,2012Q3,2,0,0,54,0.037037037,0
EQT,2012Q4,2,0,0,45,0.044444444,0
EQT,2013Q1,3,0,0,68,0.044117647,0
EQT,2013Q2,5,0,0,47,0.106382979,0
EQT,2013Q3,2,0,0,55,0.036363636,0
EQT,2013Q4,5,0,0,41,0.12195122,0
EQT,2014Q1,5,0,0,29,0.172413793,0
EQT,2014Q2,2,0,0,38,0.052631579,0
EQT,2014Q3,2,0,0,39,0.051282051,0
EQT,2014Q4,14,-0.071428571,-1,81,0.172839506,-0.172839506
EQT,2015Q1,4,0,0,73,0.054794521,0
EQT,2015Q2,8,0,0,59,0.13559322,0
EQT,2015Q3,4,0,0,95,0.042105263,0
EQT,2015Q4,9,0,0,74,0.121621622,0
EQT,2016Q1,18,0,0,88,0.204545455,0
EQT,2016Q2,8,0,0,90,0.088888889,0
EQT,2016Q3,15,0,0,88,0.170454545,0
EQT,2016Q4,11,0,0,73,0.150684932,0
EQT,2017Q1,9,0.111111111,1,73,0.123287671,0.123287671
EQT,2017Q2,20,0,0,98,0.204081633,0
EQT,2017Q3,31,-0.096774194,-3,112,0.276785714,-0.830357143
EQT,2017Q4,17,0.058823529,1,125,0.136,0.136
EQT,2018Q1,6,0,0,94,0.063829787,0
EQT,2018Q2,8,0,0,130,0.061538462,0
EQT,2018Q3,12,0,0,126,0.095238095,0
EQT,2018Q4,34,0.029411765,1,143,0.237762238,0.237762238
EQT,2019Q1,29,0,0,140,0.207142857,0
EQT,2019Q2,53,0.018867925,1,154,0.344155844,0.344155844
EQT,2019Q3,44,0.045454545,2,157,0.280254777,0.560509554
EQT,2019Q4,32,-0.03125,-1,172,0.186046512,-0.186046512
EQT,2020Q1,24,-0.208333333,-5,213,0.112676056,-0.563380282
EQT,2020Q2,12,0,0,190,0.063157895,0
EQT,2020Q3,30,-0.066666667,-2,144,0.208333333,-0.416666667
EQT,2020Q4,42,0.071428571,3,180,0.233333333,0.7
EQT,2021Q1,45,0.066666667,3,215,0.209302326,0.627906977
EQT,2021Q2,58,0.051724138,3,193,0.300518135,0.901554404
EQT,2021Q3,60,0.033333333,2,216,0.277777778,0.555555556
EQT,2021Q4,51,0.039215686,2,164,0.31097561,0.62195122
EQT,2022Q1,51,0.098039216,5,150,0.34,1.7
EQT,2022Q2,28,0.107142857,3,131,0.213740458,0.641221374
