topic,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment,topic_type
all,2011Q1,39,0.051282051,2,39,1,2,all
all,2011Q2,35,0.2,7,35,1,7,all
all,2011Q3,28,0.25,7,28,1,7,all
all,2011Q4,38,-0.078947368,-3,38,1,-3,all
all,2012Q1,48,-0.145833333,-7,48,1,-7,all
all,2012Q2,35,-0.2,-7,35,1,-7,all
all,2012Q3,54,-0.055555556,-3,54,1,-3,all
all,2012Q4,45,-0.088888889,-4,45,1,-4,all
all,2013Q1,68,-0.294117647,-20,68,1,-20,all
all,2013Q2,47,-0.021276596,-1,47,1,-1,all
all,2013Q3,55,-0.090909091,-5,55,1,-5,all
all,2013Q4,41,0.073170732,3,41,1,3,all
all,2014Q1,29,0,0,29,1,0,all
all,2014Q2,38,-0.026315789,-1,38,1,-1,all
all,2014Q3,39,-0.025641026,-1,39,1,-1,all
all,2014Q4,81,-0.098765432,-8,81,1,-8,all
all,2015Q1,73,-0.301369863,-22,73,1,-22,all
all,2015Q2,59,0.06779661,4,59,1,4,all
all,2015Q3,95,-0.242105263,-23,95,1,-23,all
all,2015Q4,74,-0.243243243,-18,74,1,-18,all
all,2016Q1,88,-0.238636364,-21,88,1,-21,all
all,2016Q2,90,-0.211111111,-19,90,1,-19,all
all,2016Q3,88,-0.011363636,-1,88,1,-1,all
all,2016Q4,73,0.095890411,7,73,1,7,all
all,2017Q1,73,0.04109589,3,73,1,3,all
all,2017Q2,98,0.010204082,1,98,1,1,all
all,2017Q3,112,0.008928571,1,112,1,1,all
all,2017Q4,125,-0.04,-5,125,1,-5,all
all,2018Q1,94,0.074468085,7,94,1,7,all
all,2018Q2,130,-0.046153846,-6,130,1,-6,all
all,2018Q3,126,0.071428571,9,126,1,9,all
all,2018Q4,143,-0.006993007,-1,143,1,-1,all
all,2019Q1,140,-0.028571429,-4,140,1,-4,all
all,2019Q2,154,-0.019480519,-3,154,1,-3,all
all,2019Q3,157,0.089171975,14,157,1,14,all
all,2019Q4,172,-0.081395349,-14,172,1,-14,all
all,2020Q1,213,-0.262910798,-56,213,1,-56,all
all,2020Q2,190,-0.457894737,-87,190,1,-87,all
all,2020Q3,144,-0.145833333,-21,144,1,-21,all
all,2020Q4,180,-0.061111111,-11,180,1,-11,all
all,2021Q1,215,0.027906977,6,215,1,6,all
all,2021Q2,193,0.03626943,7,193,1,7,all
all,2021Q3,216,0.083333333,18,216,1,18,all
